DATE,DGS1
01/12/1989,7.67
04/12/1989,7.68
05/12/1989,7.68
06/12/1989,7.76
07/12/1989,7.82
08/12/1989,7.73
11/12/1989,7.74
12/12/1989,7.76
13/12/1989,7.77
14/12/1989,7.71
15/12/1989,7.65
18/12/1989,7.62
19/12/1989,7.72
20/12/1989,7.63
21/12/1989,7.64
22/12/1989,7.7
25/12/1989,.
26/12/1989,7.83
27/12/1989,7.82
28/12/1989,7.77
29/12/1989,7.76
01/01/1990,.
02/01/1990,7.81
03/01/1990,7.85
04/01/1990,7.82
05/01/1990,7.79
08/01/1990,7.81
09/01/1990,7.78
10/01/1990,7.77
11/01/1990,7.77
12/01/1990,7.76
15/01/1990,.
16/01/1990,7.92
17/01/1990,7.91
18/01/1990,8.05
19/01/1990,8
22/01/1990,7.98
23/01/1990,7.97
24/01/1990,8
25/01/1990,8.03
26/01/1990,8.07
29/01/1990,8.08
30/01/1990,8.09
31/01/1990,8.08
01/02/1990,8.09
02/02/1990,8.13
05/02/1990,8.15
06/02/1990,8.15
07/02/1990,8.17
08/02/1990,8.13
09/02/1990,8.03
12/02/1990,8.06
13/02/1990,7.95
14/02/1990,8.03
15/02/1990,8.11
16/02/1990,8.09
19/02/1990,.
20/02/1990,8.24
21/02/1990,8.22
22/02/1990,8.17
23/02/1990,8.11
26/02/1990,8.1
27/02/1990,8.06
28/02/1990,8.12
01/03/1990,8.21
02/03/1990,8.22
05/03/1990,8.31
06/03/1990,8.31
07/03/1990,8.29
08/03/1990,8.35
09/03/1990,8.46
12/03/1990,8.44
13/03/1990,8.48
14/03/1990,8.41
15/03/1990,8.41
16/03/1990,8.36
19/03/1990,8.38
20/03/1990,8.38
21/03/1990,8.39
22/03/1990,8.32
23/03/1990,8.29
26/03/1990,8.3
27/03/1990,8.35
28/03/1990,8.33
29/03/1990,8.36
30/03/1990,8.35
02/04/1990,8.34
03/04/1990,8.32
04/04/1990,8.27
05/04/1990,8.28
06/04/1990,8.26
09/04/1990,8.29
10/04/1990,8.29
11/04/1990,8.28
12/04/1990,8.29
13/04/1990,.
16/04/1990,8.29
17/04/1990,8.38
18/04/1990,8.49
19/04/1990,8.46
20/04/1990,8.44
23/04/1990,8.5
24/04/1990,8.55
25/04/1990,8.57
26/04/1990,8.64
27/04/1990,8.57
30/04/1990,8.58
01/05/1990,8.56
02/05/1990,8.63
03/05/1990,8.62
04/05/1990,8.43
07/05/1990,8.44
08/05/1990,8.4
09/05/1990,8.4
10/05/1990,8.33
11/05/1990,8.21
14/05/1990,8.2
15/05/1990,8.23
16/05/1990,8.23
17/05/1990,8.24
18/05/1990,8.31
21/05/1990,8.3
22/05/1990,8.22
23/05/1990,8.17
24/05/1990,8.16
25/05/1990,8.23
28/05/1990,.
29/05/1990,8.23
30/05/1990,8.2
31/05/1990,8.22
01/06/1990,8.06
04/06/1990,8.07
05/06/1990,8.09
06/06/1990,8.09
07/06/1990,8.07
08/06/1990,8.07
11/06/1990,8.09
12/06/1990,8.09
13/06/1990,8.02
14/06/1990,8
15/06/1990,8.05
18/06/1990,8.11
19/06/1990,8.15
20/06/1990,8.16
21/06/1990,8.14
22/06/1990,8.12
25/06/1990,8.19
26/06/1990,8.19
27/06/1990,8.14
28/06/1990,8.07
29/06/1990,8.05
02/07/1990,8.06
03/07/1990,8.01
04/07/1990,.
05/07/1990,8.02
06/07/1990,8.14
09/07/1990,8.19
10/07/1990,8.21
11/07/1990,8.18
12/07/1990,7.98
13/07/1990,7.89
16/07/1990,7.89
17/07/1990,7.88
18/07/1990,7.87
19/07/1990,7.87
20/07/1990,7.84
23/07/1990,7.81
24/07/1990,7.88
25/07/1990,7.87
26/07/1990,7.9
27/07/1990,7.8
30/07/1990,7.75
31/07/1990,7.72
01/08/1990,7.63
02/08/1990,7.7
03/08/1990,7.56
06/08/1990,7.63
07/08/1990,7.75
